id,patient_text,relative_text,severity
4778,I feel motivated and energetic,Often prefers to stay alone,5
4779,I feel tired and hopeless,Seems happy and social,5
4780,I feel calm and normal,She seems withdrawn and quiet,3
4781,I feel calm and normal,Mood fluctuates frequently,7
4782,I feel sad without any clear reason,Actively interacts with family,9
4783,I feel sad without any clear reason,Often prefers to stay alone,2
4784,I feel emotionally numb,Actively interacts with family,6
4785,I feel motivated and energetic,She seems withdrawn and quiet,8
4786,I feel disconnected from people,Behavior appears normal,1
4787,I feel disconnected from people,Appears emotionally distant,8
4788,I feel stressed and overwhelmed,Seems happy and social,3
4789,I feel fine and stable,Mood fluctuates frequently,2
4790,I feel emotionally numb,Appears emotionally distant,7
4791,I feel motivated and energetic,No major change noticed,9
4792,I feel sad without any clear reason,Mood fluctuates frequently,2
4793,I feel fine and stable,Mood fluctuates frequently,4
4794,I feel anxious most of the day,Shows signs of irritability,2
4795,I feel emotionally numb,Shows signs of irritability,9
4796,I feel stressed and overwhelmed,Often prefers to stay alone,3
4797,I feel tired and hopeless,He avoids family and sleeps a lot,5
4798,I feel sad without any clear reason,She seems withdrawn and quiet,5
4799,I feel fine and stable,Seems happy and social,9
4800,I feel sad without any clear reason,Appears emotionally distant,5
4801,I feel fine and stable,Appears emotionally distant,4
4802,I feel emotionally numb,Appears emotionally distant,3
4803,I feel tired and hopeless,He avoids family and sleeps a lot,1
4804,I feel calm and normal,He avoids family and sleeps a lot,5
4805,I feel tired and hopeless,He avoids family and sleeps a lot,8
4806,I feel fine and stable,Mood fluctuates frequently,9
4807,I feel stressed and overwhelmed,Behavior appears normal,5
4808,I feel calm and normal,Mood fluctuates frequently,4
4809,I feel sad without any clear reason,Shows signs of irritability,2
4810,I feel calm and normal,Seems happy and social,9
4811,I feel anxious most of the day,Appears emotionally distant,9
4812,I feel motivated and energetic,He avoids family and sleeps a lot,8
4813,I feel sad without any clear reason,She seems withdrawn and quiet,8
4814,I feel emotionally numb,He avoids family and sleeps a lot,6
4815,I feel calm and normal,Shows signs of irritability,2
4816,I feel sad without any clear reason,Behavior appears normal,1
4817,I feel calm and normal,No major change noticed,9
4818,I feel motivated and energetic,Appears emotionally distant,5
4819,I feel motivated and energetic,Shows signs of irritability,9
4820,I feel anxious most of the day,He avoids family and sleeps a lot,1
4821,I feel sad without any clear reason,She seems withdrawn and quiet,4
4822,I feel sad without any clear reason,She seems withdrawn and quiet,10
4823,I feel anxious most of the day,She seems withdrawn and quiet,5
4824,I feel calm and normal,Behavior appears normal,6
4825,I feel sad without any clear reason,Mood fluctuates frequently,7
4826,I feel fine and stable,Mood fluctuates frequently,5
4827,I feel fine and stable,Seems happy and social,5
4828,I feel emotionally numb,Shows signs of irritability,5
4829,I feel motivated and energetic,Often prefers to stay alone,3
4830,I feel fine and stable,Mood fluctuates frequently,8
4831,I feel tired and hopeless,Shows signs of irritability,1
4832,I feel stressed and overwhelmed,Behavior appears normal,1
4833,I feel tired and hopeless,Behavior appears normal,7
4834,I feel calm and normal,Seems happy and social,7
4835,I feel motivated and energetic,No major change noticed,6
4836,I feel calm and normal,Appears emotionally distant,5
4837,I feel disconnected from people,Appears emotionally distant,5
4838,I feel disconnected from people,No major change noticed,3
4839,I feel emotionally numb,She seems withdrawn and quiet,2
4840,I feel worried about everything,Actively interacts with family,10
4841,I feel tired and hopeless,Shows signs of irritability,7
4842,I feel worried about everything,She seems withdrawn and quiet,5
4843,I feel sad without any clear reason,No major change noticed,3
4844,I feel disconnected from people,Mood fluctuates frequently,3
4845,I feel tired and hopeless,Mood fluctuates frequently,1
4846,I feel calm and normal,Shows signs of irritability,3
4847,I feel disconnected from people,Actively interacts with family,1
4848,I feel worried about everything,Shows signs of irritability,1
4849,I feel motivated and energetic,Actively interacts with family,1
4850,I feel stressed and overwhelmed,Shows signs of irritability,2
4851,I feel emotionally numb,She seems withdrawn and quiet,4
4852,I feel disconnected from people,Often prefers to stay alone,10
4853,I feel motivated and energetic,Behavior appears normal,5
4854,I feel tired and hopeless,She seems withdrawn and quiet,4
4855,I feel disconnected from people,Often prefers to stay alone,9
4856,I feel emotionally numb,She seems withdrawn and quiet,10
4857,I feel disconnected from people,Seems happy and social,10
4858,I feel emotionally numb,Mood fluctuates frequently,10
4859,I feel anxious most of the day,Shows signs of irritability,5
4860,I feel worried about everything,Mood fluctuates frequently,2
4861,I feel fine and stable,Mood fluctuates frequently,6
4862,I feel disconnected from people,She seems withdrawn and quiet,4
4863,I feel emotionally numb,Actively interacts with family,7
4864,I feel fine and stable,Often prefers to stay alone,7
4865,I feel motivated and energetic,Seems happy and social,7
4866,I feel disconnected from people,Behavior appears normal,9
4867,I feel stressed and overwhelmed,She seems withdrawn and quiet,7
4868,I feel calm and normal,Shows signs of irritability,5
4869,I feel anxious most of the day,Shows signs of irritability,1
4870,I feel anxious most of the day,Seems happy and social,7
4871,I feel emotionally numb,Often prefers to stay alone,10
4872,I feel tired and hopeless,She seems withdrawn and quiet,8
4873,I feel tired and hopeless,She seems withdrawn and quiet,6
4874,I feel disconnected from people,Appears emotionally distant,6
4875,I feel tired and hopeless,Often prefers to stay alone,2
4876,I feel calm and normal,Often prefers to stay alone,2
4877,I feel emotionally numb,She seems withdrawn and quiet,2
4878,I feel worried about everything,No major change noticed,4
4879,I feel calm and normal,Shows signs of irritability,4
4880,I feel worried about everything,Shows signs of irritability,1
4881,I feel emotionally numb,Often prefers to stay alone,3
4882,I feel worried about everything,Often prefers to stay alone,3
4883,I feel sad without any clear reason,Appears emotionally distant,8
4884,I feel sad without any clear reason,He avoids family and sleeps a lot,2
4885,I feel calm and normal,Mood fluctuates frequently,9
4886,I feel sad without any clear reason,Appears emotionally distant,1
4887,I feel emotionally numb,He avoids family and sleeps a lot,3
4888,I feel tired and hopeless,Mood fluctuates frequently,3
4889,I feel calm and normal,She seems withdrawn and quiet,4
4890,I feel sad without any clear reason,Mood fluctuates frequently,1
4891,I feel motivated and energetic,He avoids family and sleeps a lot,4
4892,I feel sad without any clear reason,Shows signs of irritability,8
4893,I feel worried about everything,Often prefers to stay alone,10
4894,I feel calm and normal,Shows signs of irritability,5
4895,I feel fine and stable,Appears emotionally distant,4
4896,I feel disconnected from people,Often prefers to stay alone,4
4897,I feel anxious most of the day,He avoids family and sleeps a lot,3
4898,I feel worried about everything,Mood fluctuates frequently,7
4899,I feel tired and hopeless,Behavior appears normal,6
4900,I feel fine and stable,Appears emotionally distant,6
4901,I feel motivated and energetic,Behavior appears normal,7
4902,I feel calm and normal,Mood fluctuates frequently,7
4903,I feel calm and normal,Seems happy and social,10
4904,I feel calm and normal,Behavior appears normal,7
4905,I feel emotionally numb,Seems happy and social,1
4906,I feel tired and hopeless,Often prefers to stay alone,10
4907,I feel sad without any clear reason,He avoids family and sleeps a lot,8
4908,I feel worried about everything,She seems withdrawn and quiet,1
4909,I feel emotionally numb,Shows signs of irritability,4
4910,I feel anxious most of the day,He avoids family and sleeps a lot,4
4911,I feel anxious most of the day,He avoids family and sleeps a lot,10
4912,I feel disconnected from people,Seems happy and social,3
4913,I feel tired and hopeless,Often prefers to stay alone,2
4914,I feel fine and stable,No major change noticed,5
4915,I feel anxious most of the day,Shows signs of irritability,3
4916,I feel emotionally numb,Shows signs of irritability,7
4917,I feel motivated and energetic,Actively interacts with family,4
4918,I feel disconnected from people,Shows signs of irritability,10
4919,I feel anxious most of the day,She seems withdrawn and quiet,2
4920,I feel worried about everything,Appears emotionally distant,5
4921,I feel anxious most of the day,Behavior appears normal,2
4922,I feel motivated and energetic,Appears emotionally distant,10
4923,I feel disconnected from people,Mood fluctuates frequently,4
4924,I feel anxious most of the day,Actively interacts with family,5
4925,I feel motivated and energetic,Seems happy and social,6
4926,I feel emotionally numb,Often prefers to stay alone,9
4927,I feel tired and hopeless,Behavior appears normal,9
4928,I feel worried about everything,Seems happy and social,3
4929,I feel sad without any clear reason,She seems withdrawn and quiet,7
4930,I feel stressed and overwhelmed,Shows signs of irritability,8
4931,I feel disconnected from people,She seems withdrawn and quiet,4
4932,I feel motivated and energetic,Behavior appears normal,7
4933,I feel motivated and energetic,Seems happy and social,3
4934,I feel calm and normal,He avoids family and sleeps a lot,8
4935,I feel worried about everything,Behavior appears normal,5
4936,I feel disconnected from people,Often prefers to stay alone,2
4937,I feel stressed and overwhelmed,Appears emotionally distant,9
4938,I feel motivated and energetic,Often prefers to stay alone,6
4939,I feel sad without any clear reason,He avoids family and sleeps a lot,3
4940,I feel tired and hopeless,Actively interacts with family,10
4941,I feel emotionally numb,Seems happy and social,10
4942,I feel anxious most of the day,Mood fluctuates frequently,2
4943,I feel sad without any clear reason,No major change noticed,1
4944,I feel tired and hopeless,He avoids family and sleeps a lot,8
4945,I feel anxious most of the day,Mood fluctuates frequently,4
4946,I feel sad without any clear reason,No major change noticed,10
4947,I feel worried about everything,Mood fluctuates frequently,10
4948,I feel disconnected from people,Often prefers to stay alone,6
4949,I feel emotionally numb,Often prefers to stay alone,10
4950,I feel disconnected from people,He avoids family and sleeps a lot,8
4951,I feel fine and stable,Seems happy and social,1
4952,I feel worried about everything,No major change noticed,4
4953,I feel tired and hopeless,Seems happy and social,6
4954,I feel fine and stable,No major change noticed,3
4955,I feel stressed and overwhelmed,He avoids family and sleeps a lot,2
4956,I feel tired and hopeless,Behavior appears normal,8
4957,I feel calm and normal,Behavior appears normal,3
4958,I feel stressed and overwhelmed,Actively interacts with family,1
4959,I feel disconnected from people,She seems withdrawn and quiet,1
4960,I feel stressed and overwhelmed,Shows signs of irritability,9
4961,I feel anxious most of the day,Behavior appears normal,2
4962,I feel stressed and overwhelmed,Shows signs of irritability,2
4963,I feel sad without any clear reason,Shows signs of irritability,8
4964,I feel emotionally numb,Shows signs of irritability,1
4965,I feel stressed and overwhelmed,She seems withdrawn and quiet,7
4966,I feel sad without any clear reason,No major change noticed,6
4967,I feel fine and stable,He avoids family and sleeps a lot,6
4968,I feel fine and stable,Seems happy and social,3
4969,I feel disconnected from people,He avoids family and sleeps a lot,1
4970,I feel fine and stable,Seems happy and social,8
4971,I feel anxious most of the day,Appears emotionally distant,1
4972,I feel worried about everything,Appears emotionally distant,9
4973,I feel motivated and energetic,Appears emotionally distant,4
4974,I feel motivated and energetic,Appears emotionally distant,2
4975,I feel tired and hopeless,Seems happy and social,5
4976,I feel fine and stable,Seems happy and social,7
4977,I feel disconnected from people,He avoids family and sleeps a lot,2
4978,I feel calm and normal,Appears emotionally distant,4
4979,I feel emotionally numb,Appears emotionally distant,9
4980,I feel fine and stable,Shows signs of irritability,10
4981,I feel fine and stable,No major change noticed,8
4982,I feel stressed and overwhelmed,He avoids family and sleeps a lot,10
4983,I feel emotionally numb,Actively interacts with family,9
4984,I feel sad without any clear reason,Appears emotionally distant,3
4985,I feel anxious most of the day,Shows signs of irritability,5
4986,I feel fine and stable,She seems withdrawn and quiet,4
4987,I feel tired and hopeless,Mood fluctuates frequently,4
4988,I feel motivated and energetic,Shows signs of irritability,6
4989,I feel worried about everything,Shows signs of irritability,1
4990,I feel fine and stable,Seems happy and social,3
4991,I feel worried about everything,Often prefers to stay alone,7
4992,I feel fine and stable,No major change noticed,6
4993,I feel tired and hopeless,She seems withdrawn and quiet,8
4994,I feel calm and normal,Actively interacts with family,5
4995,I feel disconnected from people,Behavior appears normal,1
4996,I feel fine and stable,Mood fluctuates frequently,9
4997,I feel stressed and overwhelmed,He avoids family and sleeps a lot,1
4998,I feel disconnected from people,He avoids family and sleeps a lot,10
4999,I feel calm and normal,She seems withdrawn and quiet,3
5000,I feel worried about everything,Behavior appears normal,6
5001,I feel stressed and overwhelmed,Actively interacts with family,9
5002,I feel anxious most of the day,He avoids family and sleeps a lot,10
5003,I feel emotionally numb,Shows signs of irritability,9
5004,I feel fine and stable,Appears emotionally distant,6
5005,I feel fine and stable,Actively interacts with family,6
5006,I feel tired and hopeless,Appears emotionally distant,7
5007,I feel fine and stable,Seems happy and social,1
5008,I feel emotionally numb,Appears emotionally distant,2
5009,I feel motivated and energetic,Appears emotionally distant,6
5010,I feel worried about everything,She seems withdrawn and quiet,3
5011,I feel calm and normal,Actively interacts with family,8
5012,I feel tired and hopeless,No major change noticed,7
5013,I feel tired and hopeless,Actively interacts with family,4
5014,I feel calm and normal,Often prefers to stay alone,9
5015,I feel calm and normal,Shows signs of irritability,2
5016,I feel disconnected from people,She seems withdrawn and quiet,9
5017,I feel disconnected from people,Mood fluctuates frequently,5
5018,I feel anxious most of the day,Shows signs of irritability,9
5019,I feel worried about everything,Seems happy and social,1
5020,I feel disconnected from people,She seems withdrawn and quiet,4
5021,I feel stressed and overwhelmed,Mood fluctuates frequently,10
5022,I feel fine and stable,He avoids family and sleeps a lot,3
5023,I feel calm and normal,Mood fluctuates frequently,3
5024,I feel worried about everything,Seems happy and social,5
5025,I feel emotionally numb,No major change noticed,2
5026,I feel tired and hopeless,Shows signs of irritability,5
5027,I feel tired and hopeless,Seems happy and social,8
5028,I feel tired and hopeless,Mood fluctuates frequently,5
5029,I feel emotionally numb,No major change noticed,8
5030,I feel calm and normal,Appears emotionally distant,6
5031,I feel tired and hopeless,Shows signs of irritability,4
5032,I feel sad without any clear reason,Actively interacts with family,8
5033,I feel calm and normal,She seems withdrawn and quiet,2
5034,I feel motivated and energetic,Actively interacts with family,8
5035,I feel fine and stable,Behavior appears normal,2
5036,I feel motivated and energetic,Often prefers to stay alone,10
5037,I feel anxious most of the day,Behavior appears normal,4
5038,I feel calm and normal,Seems happy and social,5
5039,I feel emotionally numb,Often prefers to stay alone,9
5040,I feel stressed and overwhelmed,Behavior appears normal,10
5041,I feel motivated and energetic,Often prefers to stay alone,5
5042,I feel stressed and overwhelmed,No major change noticed,2
5043,I feel emotionally numb,No major change noticed,9
5044,I feel motivated and energetic,Appears emotionally distant,1
5045,I feel stressed and overwhelmed,Shows signs of irritability,3
5046,I feel motivated and energetic,Shows signs of irritability,10
5047,I feel calm and normal,No major change noticed,8
5048,I feel fine and stable,Behavior appears normal,10
5049,I feel stressed and overwhelmed,Often prefers to stay alone,1
5050,I feel worried about everything,Often prefers to stay alone,6
5051,I feel disconnected from people,He avoids family and sleeps a lot,1
5052,I feel emotionally numb,Seems happy and social,9
5053,I feel sad without any clear reason,He avoids family and sleeps a lot,9
5054,I feel emotionally numb,Shows signs of irritability,8
5055,I feel emotionally numb,Behavior appears normal,4
5056,I feel fine and stable,Behavior appears normal,3
5057,I feel worried about everything,Shows signs of irritability,1
5058,I feel worried about everything,Often prefers to stay alone,1
5059,I feel fine and stable,No major change noticed,5
5060,I feel tired and hopeless,Often prefers to stay alone,5
5061,I feel emotionally numb,Appears emotionally distant,2
5062,I feel motivated and energetic,Seems happy and social,1
5063,I feel calm and normal,Seems happy and social,5
5064,I feel disconnected from people,Appears emotionally distant,1
5065,I feel disconnected from people,Often prefers to stay alone,5
5066,I feel motivated and energetic,Shows signs of irritability,1
5067,I feel fine and stable,He avoids family and sleeps a lot,4
5068,I feel stressed and overwhelmed,No major change noticed,5
5069,I feel anxious most of the day,Mood fluctuates frequently,4
5070,I feel disconnected from people,Behavior appears normal,8
5071,I feel stressed and overwhelmed,He avoids family and sleeps a lot,5
5072,I feel calm and normal,No major change noticed,8
5073,I feel calm and normal,He avoids family and sleeps a lot,9
5074,I feel fine and stable,Mood fluctuates frequently,5
5075,I feel tired and hopeless,She seems withdrawn and quiet,2
5076,I feel motivated and energetic,She seems withdrawn and quiet,2
5077,I feel worried about everything,Behavior appears normal,10
5078,I feel calm and normal,No major change noticed,6
5079,I feel disconnected from people,She seems withdrawn and quiet,3
5080,I feel motivated and energetic,Actively interacts with family,2
5081,I feel anxious most of the day,He avoids family and sleeps a lot,10
5082,I feel tired and hopeless,Often prefers to stay alone,10
5083,I feel calm and normal,Seems happy and social,4
5084,I feel sad without any clear reason,Seems happy and social,9
5085,I feel disconnected from people,Seems happy and social,9
5086,I feel fine and stable,Seems happy and social,10
5087,I feel calm and normal,Often prefers to stay alone,1
5088,I feel tired and hopeless,Often prefers to stay alone,1
5089,I feel calm and normal,Often prefers to stay alone,2
5090,I feel stressed and overwhelmed,Shows signs of irritability,10
5091,I feel stressed and overwhelmed,Often prefers to stay alone,2
5092,I feel stressed and overwhelmed,No major change noticed,7
5093,I feel motivated and energetic,Behavior appears normal,5
5094,I feel disconnected from people,Often prefers to stay alone,1
5095,I feel disconnected from people,Behavior appears normal,2
5096,I feel tired and hopeless,Mood fluctuates frequently,10
5097,I feel anxious most of the day,Mood fluctuates frequently,6
5098,I feel disconnected from people,Appears emotionally distant,5
5099,I feel motivated and energetic,Behavior appears normal,5
5100,I feel calm and normal,She seems withdrawn and quiet,4
5101,I feel fine and stable,No major change noticed,4
5102,I feel worried about everything,Actively interacts with family,6
5103,I feel motivated and energetic,No major change noticed,2
5104,I feel motivated and energetic,Often prefers to stay alone,1
5105,I feel anxious most of the day,Actively interacts with family,6
5106,I feel emotionally numb,Actively interacts with family,5
5107,I feel emotionally numb,She seems withdrawn and quiet,4
5108,I feel anxious most of the day,Shows signs of irritability,8
5109,I feel calm and normal,He avoids family and sleeps a lot,5
5110,I feel tired and hopeless,Actively interacts with family,4
5111,I feel worried about everything,Appears emotionally distant,9
5112,I feel emotionally numb,He avoids family and sleeps a lot,9
5113,I feel motivated and energetic,Mood fluctuates frequently,7
5114,I feel worried about everything,Appears emotionally distant,8
5115,I feel calm and normal,Often prefers to stay alone,8
5116,I feel anxious most of the day,Mood fluctuates frequently,2
5117,I feel calm and normal,Often prefers to stay alone,3
5118,I feel anxious most of the day,She seems withdrawn and quiet,10
5119,I feel sad without any clear reason,No major change noticed,9
5120,I feel anxious most of the day,Often prefers to stay alone,4
5121,I feel worried about everything,Mood fluctuates frequently,3
5122,I feel disconnected from people,Appears emotionally distant,10
5123,I feel tired and hopeless,Shows signs of irritability,7
5124,I feel anxious most of the day,Behavior appears normal,8
5125,I feel tired and hopeless,Actively interacts with family,3
5126,I feel calm and normal,Often prefers to stay alone,1
5127,I feel fine and stable,Often prefers to stay alone,3
5128,I feel stressed and overwhelmed,Appears emotionally distant,10
5129,I feel disconnected from people,Seems happy and social,2
5130,I feel calm and normal,Actively interacts with family,3
5131,I feel fine and stable,Appears emotionally distant,7
5132,I feel worried about everything,Actively interacts with family,3
5133,I feel sad without any clear reason,Mood fluctuates frequently,2
5134,I feel anxious most of the day,He avoids family and sleeps a lot,9
5135,I feel fine and stable,Shows signs of irritability,9
5136,I feel motivated and energetic,Mood fluctuates frequently,3
5137,I feel tired and hopeless,Appears emotionally distant,4
5138,I feel worried about everything,Actively interacts with family,1
5139,I feel tired and hopeless,Seems happy and social,5
5140,I feel emotionally numb,No major change noticed,10
5141,I feel calm and normal,He avoids family and sleeps a lot,7
5142,I feel anxious most of the day,Often prefers to stay alone,6
5143,I feel emotionally numb,He avoids family and sleeps a lot,1
5144,I feel fine and stable,Mood fluctuates frequently,8
5145,I feel emotionally numb,She seems withdrawn and quiet,7
5146,I feel tired and hopeless,He avoids family and sleeps a lot,6
5147,I feel calm and normal,No major change noticed,1
5148,I feel calm and normal,Appears emotionally distant,2
5149,I feel anxious most of the day,Behavior appears normal,4
5150,I feel stressed and overwhelmed,Appears emotionally distant,3
5151,I feel worried about everything,Seems happy and social,6
5152,I feel disconnected from people,She seems withdrawn and quiet,10
5153,I feel motivated and energetic,Seems happy and social,8
5154,I feel calm and normal,Behavior appears normal,5
5155,I feel anxious most of the day,Seems happy and social,3
5156,I feel calm and normal,Seems happy and social,4
5157,I feel motivated and energetic,Seems happy and social,7
5158,I feel worried about everything,Appears emotionally distant,6
5159,I feel tired and hopeless,Often prefers to stay alone,7
5160,I feel anxious most of the day,Seems happy and social,2
5161,I feel tired and hopeless,He avoids family and sleeps a lot,9
5162,I feel calm and normal,Actively interacts with family,1
5163,I feel stressed and overwhelmed,Mood fluctuates frequently,8
5164,I feel anxious most of the day,She seems withdrawn and quiet,2
5165,I feel disconnected from people,No major change noticed,1
5166,I feel disconnected from people,Shows signs of irritability,1
5167,I feel tired and hopeless,Often prefers to stay alone,5
5168,I feel worried about everything,Mood fluctuates frequently,9
5169,I feel emotionally numb,Mood fluctuates frequently,3
5170,I feel emotionally numb,Appears emotionally distant,6
5171,I feel worried about everything,Mood fluctuates frequently,6
5172,I feel sad without any clear reason,Mood fluctuates frequently,2
5173,I feel calm and normal,Shows signs of irritability,6
5174,I feel anxious most of the day,Actively interacts with family,2
5175,I feel disconnected from people,Seems happy and social,8
5176,I feel tired and hopeless,Shows signs of irritability,4
5177,I feel tired and hopeless,Mood fluctuates frequently,6
5178,I feel disconnected from people,Actively interacts with family,8
5179,I feel anxious most of the day,Seems happy and social,6
5180,I feel tired and hopeless,No major change noticed,1
5181,I feel stressed and overwhelmed,Appears emotionally distant,3
5182,I feel tired and hopeless,Often prefers to stay alone,2
5183,I feel stressed and overwhelmed,No major change noticed,1
5184,I feel disconnected from people,She seems withdrawn and quiet,10
5185,I feel stressed and overwhelmed,Mood fluctuates frequently,9
5186,I feel emotionally numb,Shows signs of irritability,6
5187,I feel motivated and energetic,Behavior appears normal,9
5188,I feel calm and normal,He avoids family and sleeps a lot,3
5189,I feel sad without any clear reason,Appears emotionally distant,8
5190,I feel emotionally numb,Mood fluctuates frequently,4
5191,I feel sad without any clear reason,Often prefers to stay alone,2
5192,I feel stressed and overwhelmed,Often prefers to stay alone,9
5193,I feel worried about everything,He avoids family and sleeps a lot,5
5194,I feel worried about everything,Actively interacts with family,10
5195,I feel fine and stable,Seems happy and social,4
5196,I feel sad without any clear reason,Seems happy and social,7
5197,I feel stressed and overwhelmed,Often prefers to stay alone,1
5198,I feel worried about everything,No major change noticed,2
5199,I feel sad without any clear reason,Often prefers to stay alone,3
5200,I feel fine and stable,She seems withdrawn and quiet,4
5201,I feel emotionally numb,Often prefers to stay alone,1
5202,I feel worried about everything,Mood fluctuates frequently,8
5203,I feel sad without any clear reason,Actively interacts with family,2
5204,I feel emotionally numb,She seems withdrawn and quiet,6
5205,I feel disconnected from people,Mood fluctuates frequently,2
5206,I feel sad without any clear reason,Behavior appears normal,3
5207,I feel motivated and energetic,Seems happy and social,10
5208,I feel fine and stable,Mood fluctuates frequently,1
5209,I feel worried about everything,Seems happy and social,3
5210,I feel anxious most of the day,Shows signs of irritability,2
5211,I feel anxious most of the day,He avoids family and sleeps a lot,8
5212,I feel tired and hopeless,Actively interacts with family,9
5213,I feel anxious most of the day,Mood fluctuates frequently,7
5214,I feel sad without any clear reason,He avoids family and sleeps a lot,4
5215,I feel emotionally numb,She seems withdrawn and quiet,1
5216,I feel motivated and energetic,Behavior appears normal,5
5217,I feel stressed and overwhelmed,Shows signs of irritability,5
5218,I feel fine and stable,Seems happy and social,7
5219,I feel stressed and overwhelmed,Mood fluctuates frequently,1
5220,I feel worried about everything,Shows signs of irritability,7
5221,I feel anxious most of the day,Appears emotionally distant,2
5222,I feel worried about everything,He avoids family and sleeps a lot,5
5223,I feel emotionally numb,She seems withdrawn and quiet,2
5224,I feel fine and stable,Shows signs of irritability,8
5225,I feel fine and stable,Mood fluctuates frequently,3
5226,I feel calm and normal,Actively interacts with family,9
5227,I feel emotionally numb,Behavior appears normal,4
5228,I feel stressed and overwhelmed,Behavior appears normal,10
5229,I feel calm and normal,Often prefers to stay alone,6
5230,I feel fine and stable,No major change noticed,10
5231,I feel motivated and energetic,He avoids family and sleeps a lot,8
5232,I feel anxious most of the day,He avoids family and sleeps a lot,4
5233,I feel calm and normal,He avoids family and sleeps a lot,8
5234,I feel stressed and overwhelmed,He avoids family and sleeps a lot,9
5235,I feel worried about everything,He avoids family and sleeps a lot,9
5236,I feel fine and stable,Often prefers to stay alone,5
5237,I feel stressed and overwhelmed,Appears emotionally distant,10
5238,I feel sad without any clear reason,Seems happy and social,7
5239,I feel sad without any clear reason,Seems happy and social,6
5240,I feel disconnected from people,Often prefers to stay alone,5
5241,I feel emotionally numb,Behavior appears normal,5
5242,I feel fine and stable,She seems withdrawn and quiet,5
5243,I feel tired and hopeless,No major change noticed,5
5244,I feel worried about everything,Seems happy and social,8
5245,I feel fine and stable,Seems happy and social,6
5246,I feel disconnected from people,Seems happy and social,8
5247,I feel calm and normal,Behavior appears normal,7
5248,I feel disconnected from people,She seems withdrawn and quiet,6
5249,I feel motivated and energetic,Often prefers to stay alone,1
5250,I feel disconnected from people,Shows signs of irritability,4
5251,I feel calm and normal,Mood fluctuates frequently,7
5252,I feel motivated and energetic,She seems withdrawn and quiet,3
5253,I feel fine and stable,Actively interacts with family,1
5254,I feel emotionally numb,Actively interacts with family,9
5255,I feel disconnected from people,Mood fluctuates frequently,9
5256,I feel disconnected from people,Actively interacts with family,3
5257,I feel anxious most of the day,Behavior appears normal,10
5258,I feel worried about everything,Often prefers to stay alone,4
5259,I feel emotionally numb,Often prefers to stay alone,6
5260,I feel worried about everything,She seems withdrawn and quiet,4
5261,I feel anxious most of the day,She seems withdrawn and quiet,7
5262,I feel sad without any clear reason,Shows signs of irritability,1
5263,I feel motivated and energetic,Behavior appears normal,1
5264,I feel emotionally numb,Shows signs of irritability,3
5265,I feel sad without any clear reason,Shows signs of irritability,1
5266,I feel worried about everything,Often prefers to stay alone,5
5267,I feel fine and stable,No major change noticed,4
5268,I feel fine and stable,Appears emotionally distant,3
5269,I feel emotionally numb,Behavior appears normal,6
5270,I feel motivated and energetic,Actively interacts with family,2
5271,I feel emotionally numb,Mood fluctuates frequently,1
5272,I feel anxious most of the day,Actively interacts with family,9
5273,I feel disconnected from people,Seems happy and social,6
5274,I feel fine and stable,Actively interacts with family,10
5275,I feel motivated and energetic,She seems withdrawn and quiet,8
5276,I feel motivated and energetic,Mood fluctuates frequently,9
5277,I feel emotionally numb,He avoids family and sleeps a lot,3
5278,I feel emotionally numb,Seems happy and social,4
5279,I feel fine and stable,Often prefers to stay alone,6
5280,I feel fine and stable,Appears emotionally distant,6
5281,I feel calm and normal,Seems happy and social,9
5282,I feel disconnected from people,Behavior appears normal,10
5283,I feel disconnected from people,Often prefers to stay alone,1
5284,I feel stressed and overwhelmed,Appears emotionally distant,4
5285,I feel disconnected from people,He avoids family and sleeps a lot,7
5286,I feel fine and stable,Behavior appears normal,3
5287,I feel sad without any clear reason,She seems withdrawn and quiet,6
5288,I feel tired and hopeless,Behavior appears normal,1
5289,I feel worried about everything,Seems happy and social,3
5290,I feel motivated and energetic,Appears emotionally distant,1
5291,I feel fine and stable,Seems happy and social,5
5292,I feel stressed and overwhelmed,No major change noticed,4
5293,I feel emotionally numb,She seems withdrawn and quiet,8
5294,I feel anxious most of the day,Appears emotionally distant,1
5295,I feel fine and stable,Often prefers to stay alone,3
5296,I feel calm and normal,Appears emotionally distant,3
5297,I feel sad without any clear reason,No major change noticed,3
5298,I feel stressed and overwhelmed,Seems happy and social,3
5299,I feel emotionally numb,Appears emotionally distant,5
5300,I feel motivated and energetic,Mood fluctuates frequently,9
5301,I feel tired and hopeless,Actively interacts with family,3
5302,I feel disconnected from people,Shows signs of irritability,5
5303,I feel worried about everything,She seems withdrawn and quiet,1
5304,I feel motivated and energetic,No major change noticed,10
5305,I feel emotionally numb,No major change noticed,9
5306,I feel worried about everything,Actively interacts with family,8
5307,I feel fine and stable,He avoids family and sleeps a lot,2
5308,I feel calm and normal,Actively interacts with family,6
5309,I feel sad without any clear reason,Often prefers to stay alone,6
5310,I feel anxious most of the day,He avoids family and sleeps a lot,1
5311,I feel sad without any clear reason,Often prefers to stay alone,3
5312,I feel tired and hopeless,Seems happy and social,6
5313,I feel motivated and energetic,Appears emotionally distant,4
5314,I feel disconnected from people,Actively interacts with family,4
5315,I feel tired and hopeless,Actively interacts with family,4
5316,I feel disconnected from people,Behavior appears normal,6
5317,I feel emotionally numb,Behavior appears normal,9
